"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Terminal view commands","Terminal view insert","⌥T","Terminal widget context"
"Window","Next Perspective","⌘F8","In Windows"
"Run/Debug","Run JUnit Test","⌘R","In Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Source","Organize Imports","⇧⌘O","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Navigate","Forward History","⌘]","In Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Navigate","Next","⌘.","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Server","Debug","⌥⌘D","In Servers View"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥A","Terminal widget context"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"MoreUnit","Jump to Test/Source","⌃9","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Spy","Plug-in Selection Spy","⇧⌥F1","In Dialogs and Windows"
"File","Save","⌘S","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Terminal view commands","Terminal view insert","⌥V","Terminal widget context"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Terminal view commands","Terminal view insert","⌥G","Terminal widget context"
"Terminal view commands","Terminal view insert","⌥E","Terminal widget context"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Run/Debug","Terminate","⌘F2","Debugging"
"Window","Quick Switch Editor","⌘E","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
